,STATE,STATEFP,STATENS,STATE_NAME
0,AL,1,1779775,Alabama
1,AK,2,1785533,Alaska
2,AZ,4,1779777,Arizona
3,AR,5,68085,Arkansas
4,CA,6,1779778,California
5,CO,8,1779779,Colorado
6,CT,9,1779780,Connecticut
7,DE,10,1779781,Delaware
8,DC,11,1702382,District of Columbia
9,FL,12,294478,Florida
10,GA,13,1705317,Georgia
11,HI,15,1779782,Hawaii
12,ID,16,1779783,Idaho
13,IL,17,1779784,Illinois
14,IN,18,448508,Indiana
15,IA,19,1779785,Iowa
16,KS,20,481813,Kansas
17,KY,21,1779786,Kentucky
18,LA,22,1629543,Louisiana
19,ME,23,1779787,Maine
20,MD,24,1714934,Maryland
21,MA,25,606926,Massachusetts
22,MI,26,1779789,Michigan
23,MN,27,662849,Minnesota
24,MS,28,1779790,Mississippi
25,MO,29,1779791,Missouri
26,MT,30,767982,Montana
27,NE,31,1779792,Nebraska
28,NV,32,1779793,Nevada
29,NH,33,1779794,New Hampshire
30,NJ,34,1779795,New Jersey
31,NM,35,897535,New Mexico
32,NY,36,1779796,New York
33,NC,37,1027616,North Carolina
34,ND,38,1779797,North Dakota
35,OH,39,1085497,Ohio
36,OK,40,1102857,Oklahoma
37,OR,41,1155107,Oregon
38,PA,42,1779798,Pennsylvania
39,RI,44,1219835,Rhode Island
40,SC,45,1779799,South Carolina
41,SD,46,1785534,South Dakota
42,TN,47,1325873,Tennessee
43,TX,48,1779801,Texas
44,UT,49,1455989,Utah
45,VT,50,1779802,Vermont
46,VA,51,1779803,Virginia
47,WA,53,1779804,Washington
48,WV,54,1779805,West Virginia
49,WI,55,1779806,Wisconsin
50,WY,56,1779807,Wyoming
51,AS,60,1802701,American Samoa
52,GU,66,1802705,Guam
53,MP,69,1779809,Commonwealth of the Northern Mariana Islands
54,PR,72,1779808,Puerto Rico
55,UM,74,1878752,U.S. Minor Outlying Islands
56,VI,78,1802710,United States Virgin Islands
